Feature,0.0,1.0,diff_in_means
Modal Verb Strength,5.976,6.429,0.4530000000000003
Hedging Frequency & Type,8.186,8.28,0.09399999999999942
Qualifier Density,8.118,8.115,-0.0030000000000001137
Acknowledgement of Limitations,8.353,8.78,0.4269999999999996
Caution-Signaling Connectors,8.462,8.61,0.1479999999999997
Assertiveness & Voice,8.077,8.214,0.13700000000000045
Active/Passive Voice Ratio,8.079,8.522,0.4429999999999996
Sentence Length & Directness,6.462,6.802,0.33999999999999986
Imperative-Form Occurrence,1.009,1.0,-0.008999999999999897
Pronoun Commitment,4.712,5.989,1.2770000000000001
Novelty-Claim Strength,2.083,1.841,-0.24200000000000021
Jargon/Technicality Density,6.329,5.571,-0.758
Emotional Valence,1.133,1.143,0.010000000000000009
Evidence & Citation Usage,2.013,2.742,0.7290000000000001
Practical/Impact Orientation,2.688,2.896,0.20799999999999974
Readability,7.346,7.846,0.5
